" is out of stock!"," is out of stock!"
"'Size'","'Size'"
"(no Budsie)","(no Budsie)"
"*We will refund the rush fee in the unlikely event we do not meet a promised delivery date.","*We will refund the rush fee in the unlikely event we do not meet a promised delivery date."
"10% discount on 10+ Petsies","10% discount on 10+ Petsies"
"12 colorful ways for more advanced artists to sketch out your new friend","12 colorful ways for more advanced artists to sketch out your new friend"
"20% discount on 20+ Petsies","20% discount on 20+ Petsies"
"2017 Oppenheimer Best Toy Award","2017 Oppenheimer Best Toy Award"
"404 Page Not Found","404 Page Not Found"
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"About Us","About Us"
"About us (Magento CMS)","About us (Magento CMS)"
"About us","About us"
"About","About"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Accessories","Accessories"
"Account data has successfully been updated","Account data has successfully been updated"
"Account","Account"
"Add Address","Add Address"
"Add New Address","Add New Address"
"Add Pet","Add Pet"
"Add a discount code","Add a discount code"
"Add another pet","Add another pet"
"Add discount code","Add discount code"
"Add new address","Add new address"
"Add review","Add review"
"Add to Cart","Add to Cart"
"Add to cart","Add to cart"
"Add to compare","Add to compare"
"Add to favorite","Add to favorite"
"Adding a review ...","Adding a review ..."
"Additional Addresses","Additional Addresses"
"Additional Details","Additional Details"
"Additional Information","Additional Information"
"Address Book","Address Book"
"Address","Address"
"Affiliates","Affiliates"
"Affirm page will opened in the separate window to securely complete your purchase. Just fill out a few pieces of basic information and get a real-time decision. Checking your eligibility won't affect your credit score.","Affirm page will opened in the separate window to securely complete your purchase. Just fill out a few pieces of basic information and get a real-time decision. Checking your eligibility won't affect your credit score."
"All domestic Petsies ship via USPS 2 day priority mail.","All domestic Petsies ship via USPS 2 day priority mail."
"All pricing in USD","All pricing in USD"
"All quantity discounts applied automatically at checkout:","All quantity discounts applied automatically at checkout:"
"Allow notification about the order","Allow notification about the order"
"Allow order notifications","Allow order notifications"
"Amount","Amount"
"An error occured while loading the component.","An error occured while loading the component."
"Apparel and Accessories","Apparel and Accessories"
"Apply Gift Card","Apply Gift Card"
"Approx. 10-25 spots will open each week based on our artists' capacity","Approx. 10-25 spots will open each week based on our artists' capacity"
"Are you a trendsetter?","Are you a trendsetter?"
"Are you sure you would like to remove all the items from the shopping cart?","Are you sure you would like to remove all the items from the shopping cart?"
"Are you sure you would like to remove all the items from the wishlist?","Are you sure you would like to remove all the items from the wishlist?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"As Seen On Shark Tank","As Seen On Shark Tank"
"At Brand name, we attach great importance to privacy issues and are committed to protecting the personal data of our users. Learn more about how we care and use your personal data in the","At Brand name, we attach great importance to privacy issues and are committed to protecting the personal data of our users. Learn more about how we care and use your personal data in the"
"At Budsies, we attach great importance to privacy issues and are committed to protecting the personal data of our users. Learn more about how we care and use your personal data in the","At Budsies, we attach great importance to privacy issues and are committed to protecting the personal data of our users. Learn more about how we care and use your personal data in the"
"Author","Author"
"Authorization in progress ...","Authorization in progress ..."
"Available only in U.S.","Available only in U.S."
"Back to login","Back to login"
"Back to shop","Back to shop"
"Back","Back"
"Be aware of upcoming sales and events. Receive gifts and special offers!","Be aware of upcoming sales and events. Receive gifts and special offers!"
"Become a Partner","Become a Partner"
"Best Value","Best Value"
"Best get shopping pronto...","Best get shopping pronto..."
"Bestsellers","Bestsellers"
"Billing address","Billing address"
"Billing","Billing"
"Blankets","Blankets"
"Blog","Blog"
"Bobbleheads & Figurines","Bobbleheads & Figurines"
"Buddy Pillows","Buddy Pillows"
"Budsies Accessories","Budsies Accessories"
"Budsies Co LLC. All Rights Reserved","Budsies Co LLC. All Rights Reserved"
"Budsies Colored Pencils","Budsies Colored Pencils"
"Budsies Crayons","Budsies Crayons"
"Budsies Gift Box is the perfect gift and includes everything to unlock a child's creativity and turn their drawings into custom stuffed animals","Budsies Gift Box is the perfect gift and includes everything to unlock a child's creativity and turn their drawings into custom stuffed animals"
"Budsies Pals","Budsies Pals"
"Budsies Sketchpad","Budsies Sketchpad"
"Budsies Voucher","Budsies Voucher"
"Budsies","Budsies"
"Bulk Orders","Bulk Orders"
"CVV did not pass verification","CVV did not pass verification"
